Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID
HIP_API_DOMAIN,"hipGetDevice",2833573318775981,2833573318776402,256
HIP_API_DOMAIN,"hipGetDevice",2833573318787468,2833573318787578,257
HIP_API_DOMAIN,"hipGetDevice",2833573318791554,2833573318791654,258
HIP_API_DOMAIN,"hipSetDevice",2833573318793147,2833573318793387,259
HIP_API_DOMAIN,"hipSetDevice",2833573318793637,2833573318793888,260
HIP_API_DOMAIN,"hipGetDevice",2833573318838815,2833573318838915,261
HIP_API_DOMAIN,"hipSetDevice",2833573318841209,2833573318841309,262
HIP_API_DOMAIN,"hipGetDevice",2833573318859836,2833573318859957,263
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833573318860718,2833573319276531,264
HIP_API_DOMAIN,"hipGetDevice",2833573319277342,2833573319277512,265
HIP_API_DOMAIN,"hipStreamSynchronize",2833573319278644,2833573319279866,266
HIP_API_DOMAIN,"hipGetDevice",2833622524687127,2833622524689901,267
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833622524696260,2833622524939274,268
HIP_API_DOMAIN,"hipGetDevice",2833622524939695,2833622524939825,269
HIP_API_DOMAIN,"hipGetDevice",2833622524942940,2833622524943050,270
HIP_API_DOMAIN,"hipSetDevice",2833622524945434,2833622524946255,271
HIP_API_DOMAIN,"hipGetDevice",2833622525021638,2833622525021928,272
HIP_API_DOMAIN,"hipGetDevice",2833622525024302,2833622525024382,273
HIP_API_DOMAIN,"hipGetDevice",2833622525027106,2833622525027196,274
HIP_API_DOMAIN,"hipSetDevice",2833622525028698,2833622525028848,275
HIP_API_DOMAIN,"hipSetDevice",2833622525029119,2833622525029369,276
HIP_API_DOMAIN,"hipGetDevice",2833622525073766,2833622525073886,277
HIP_API_DOMAIN,"hipSetDevice",2833622525076350,2833622525076460,278
HIP_API_DOMAIN,"hipGetDevice",2833622525095478,2833622525095608,279
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833622525096690,2833622525500125,280
HIP_API_DOMAIN,"hipGetDevice",2833622525500806,2833622525500896,281
HIP_API_DOMAIN,"hipStreamSynchronize",2833622525501817,2833622525502889,282
HIP_API_DOMAIN,"hipGetDevice",2833623007498290,2833623007501024,283
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833623007506402,2833623007667954,284
HIP_API_DOMAIN,"hipGetDevice",2833623007668365,2833623007668475,285
HIP_API_DOMAIN,"hipGetDevice",2833623007671279,2833623007671369,286
HIP_API_DOMAIN,"hipSetDevice",2833623007673673,2833623007674354,287
HIP_API_DOMAIN,"hipGetDevice",2833623007738610,2833623007738920,288
HIP_API_DOMAIN,"hipGetDevice",2833623007740483,2833623007740563,289
HIP_API_DOMAIN,"hipGetDevice",2833623007746822,2833623007746912,290
HIP_API_DOMAIN,"hipSetDevice",2833623007747994,2833623007748144,291
HIP_API_DOMAIN,"hipSetDevice",2833623007748395,2833623007748655,292
HIP_API_DOMAIN,"hipGetDevice",2833623007780583,2833623007780753,293
HIP_API_DOMAIN,"hipSetDevice",2833623007782546,2833623007782646,294
HIP_API_DOMAIN,"hipGetDevice",2833623007799091,2833623007799221,295
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833623007799842,2833623008218128,296
HIP_API_DOMAIN,"hipGetDevice",2833623008218840,2833623008218940,297
HIP_API_DOMAIN,"hipStreamSynchronize",2833623008220021,2833623008221744,298
HIP_API_DOMAIN,"hipGetDevice",2833623481934503,2833623481936346,299
HIP_API_DOMAIN,"hipGetDevice",2833623481952090,2833623481952200,300
